1,f,18,2018_Feb_12_1641,SU
2,f,19,2018_Feb_27_1641,SU
3,m,19,2018_Feb_28_1455,SU
4,m,19,2018_Feb_28_1518,SU
5,f,19,2018_Mar_01_1656,SU
6,m,19,2018_Mar_01_1725,SU
7,m,18,2018_Mar_01_1753,SU
8,M,20,2018_Mar_05_1215,SU
8,f,18,2018_Mar_06_1644,SU
10,f,18,2018_Mar_06_1723,SU
11,f,18,2018_Mar_06_1753,SU
12,m,18,2018_Mar_07_1421,SU
12,m,18,2018_Mar_07_1433,SU
13,f,19,2018_Mar_07_1513,SU
14,f,20,2018_Mar_07_1725,SU
15,f,19,2018_Mar_07_1757,SU
15,F,19,2018_Mar_08_1653,SU
17,m,20,2018_Mar_14_1656,SU
18,m,19,2018_Mar_14_1720,SU
19,m,18,2018_Mar_14_1755,SU
20,f,19,2018_Mar_15_1658,SU
21,f,19,2018_Mar_15_1726,SU
22,f,19,2018_Mar_15_1750,SU
23,m,18,2018_Mar_21_1546,SU
24,m,20,2018_Mar_22_1653,SU
25,m,21,2018_Mar_22_1721,SU
26,f,19,2018_Mar_22_1807,SU
29,f,18,2018_Apr_04_1632,SU
30,m,19,2018_Apr_04_1701,SU
31,f,20,2018_Apr_04_1724,SU
32,f,19,2018_Apr_04_1746,SU
33,f,19,2018_Apr_05_1659,SU
34,m,18,2018_Apr_05_1727,SU
35,f,19,2018_Apr_05_1756,SU
36,f,19,2018_Apr_06_1325,SU
37,f,19,2018_Apr_06_1356,SU
38,m,19,2018_Apr_06_1444,SU
39,m,21,2018_Apr_23_1256,SU
40,f,19,2018_Apr_23_1331,SU

