ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
42,BLUE,word,new,NA,new,6.61361217499,N,NA
42,SOFT,word,old,42,old,1.99773716927,R,1.88107705116
42,JOSP,nonword,old,29,old,4.98072099686,R,1.43326592445
42,MYDE,nonword,old,33,new,2.3745098114,N,NA
42,KISS,word,old,19,old,2.03999686241,R,1.20139694214
42,YOGG,nonword,new,NA,new,2.56479787827,N,NA
42,CHIE,nonword,new,NA,old,2.85619997978,K,0.887207984924
42,DUFE,nonword,new,NA,old,2.65909218788,K,0.929991006851
42,NOTE,word,old,30,old,1.80389881134,R,0.885377883911
42,DWEK,nonword,new,NA,new,1.23879504204,N,NA
42,KNEE,word,new,NA,new,1.44436192513,N,NA
42,BOOK,word,new,NA,new,1.55186581612,N,NA
42,TALK,word,old,10,old,1.10950899124,R,1.28922510147
42,TREE,word,new,NA,old,3.16482305527,K,0.893576860428
42,SHOP,word,old,2,old,1.8794798851,R,1.04092788696
42,WANT,word,new,NA,new,1.82032895088,N,NA
42,RAIN,word,old,39,new,1.34771609306,N,NA
42,WALK,word,old,45,old,1.2354221344,K,1.09491801262
42,FEET,word,old,48,new,1.88050413132,N,NA
42,HAND,word,old,15,new,3.00383996964,N,NA
42,HALL,word,old,25,old,1.5992410183,K,1.09644007683
42,NOGE,nonword,new,NA,old,2.01827311516,K,0.92140007019
42,NAUC,nonword,old,8,new,1.50912904739,N,NA
42,GIRL,word,new,NA,new,2.17257285118,N,NA
42,ROOM,word,new,NA,old,1.97419691086,K,1.06932592392
42,WUIL,nonword,new,NA,new,1.52500295639,N,NA
42,HEAD,word,old,13,old,1.88061308861,K,0.929831027985
42,ABST,nonword,old,46,new,3.17954397202,N,NA
42,VEUL,nonword,new,NA,new,4.30871486664,N,NA
42,SPIZ,nonword,new,NA,old,1.47592687607,K,0.83886384964
42,GWUZ,nonword,old,14,new,2.08454704285,N,NA
42,LOOK,word,old,11,old,2.1521821022,R,1.38752007484
42,GOOD,word,old,3,new,2.42686390877,N,NA
42,REST,word,old,35,old,1.64226007462,K,0.843607187271
42,YAIL,nonword,new,NA,new,5.27935004234,N,NA
42,MAKE,word,new,NA,old,1.81199908257,K,0.883326053619
42,ZARC,nonword,old,55,old,2.89508891106,R,0.958315849304
42,ZEAM,nonword,new,NA,new,1.40374112129,N,NA
42,NALN,nonword,old,5,new,2.59936690331,N,NA
42,UFTS,nonword,old,18,new,1.42845392227,N,NA
42,FACE,word,old,36,old,1.18808293343,K,0.913571119308
42,COLD,word,new,NA,new,1.55118608475,N,NA
42,ZUNK,nonword,old,52,old,1.96486091614,K,0.965989112854
42,SNOW,word,new,NA,new,4.05785608292,N,NA
42,BEEF,word,new,NA,new,1.25845003128,N,NA
42,CLOF,nonword,new,NA,old,1.54837584496,K,0.825559139252
42,PLOK,nonword,old,56,new,1.76137208939,N,NA
42,HOME,word,old,26,old,3.05286693573,R,0.852077007294
42,YEAR,word,new,NA,new,2.3736140728,N,NA
42,KEPH,nonword,old,41,old,1.5909819603,R,1.42646408081
42,TUCE,nonword,old,32,new,2.54588508606,N,NA
42,TASP,nonword,old,4,new,1.54504108429,N,NA
42,ZELF,nonword,new,NA,old,2.8808400631,K,1.00167512894
42,MENC,nonword,old,17,new,3.26942396164,N,NA
42,SKIN,word,new,NA,new,1.74042010307,N,NA
42,TIME,word,new,NA,old,1.1400809288,K,0.841464996338
42,SWAZ,nonword,new,NA,old,2.83733797073,R,1.856539011
42,FOMB,nonword,new,NA,new,1.96176791191,N,NA
42,LODD,nonword,new,NA,new,1.62104988098,N,NA
42,GATE,word,new,NA,old,1.85268688202,K,0.835996866226
42,HESP,nonword,old,53,new,2.67969202995,N,NA
42,DATE,word,old,54,old,1.74906206131,R,0.952554941177
42,HEWF,nonword,new,NA,new,2.07794880867,N,NA
42,CWEB,nonword,old,50,new,1.81931495667,N,NA
42,WIND,word,new,NA,old,3.49290990829,K,0.843675851822
42,SOTE,nonword,old,23,old,2.53565382957,K,1.19865012169
42,ROAD,word,old,16,new,1.24418187141,N,NA
42,CHUR,nonword,old,60,new,1.32778906822,N,NA
42,LINE,word,new,NA,old,1.62753391266,K,1.08878803253
42,CAKE,word,old,40,new,2.02044987679,N,NA
42,DAPT,nonword,old,27,old,1.00413298607,K,0.941530942917
42,COLV,nonword,new,NA,old,2.73335886002,K,0.812334060669
42,DENC,nonword,new,NA,new,2.1581659317,N,NA
42,SALT,word,new,NA,new,1.74734091759,N,NA
42,BIRD,word,old,24,old,2.27497196198,K,0.862049102783
42,HAVE,word,old,34,new,1.30182218552,N,NA
42,PAGE,word,new,NA,old,2.18146705627,K,0.83469080925
42,NARN,nonword,old,7,old,1.17641878128,K,0.855978965759
42,WONC,nonword,new,NA,new,1.49757099152,N,NA
42,JAUK,nonword,new,NA,new,2.19513392448,N,NA
42,CWUL,nonword,new,NA,old,1.05650115013,K,0.856036186218
42,JALT,nonword,new,NA,new,1.2737429142,N,NA
42,RETE,nonword,new,NA,old,1.14330601692,K,1.44489002228
42,LORT,nonword,old,38,old,1.76063108444,K,0.977838039398
42,HOLD,word,old,31,new,1.41953802109,N,NA
42,SOAP,word,old,28,old,1.39721298218,K,0.848446130753
42,TRUV,nonword,old,1,old,1.13238596916,K,0.81996178627
42,COAT,word,old,58,new,1.24353909492,N,NA
42,LATT,nonword,new,NA,new,1.47119188309,N,NA
42,WARM,word,new,NA,new,2.5006108284,N,NA
42,RILM,nonword,old,21,old,2.38008093834,K,0.825030088425
42,GWIC,nonword,new,NA,new,1.8328640461,N,NA
42,WORK,word,old,44,new,1.92619800568,N,NA
42,WONS,nonword,old,43,old,1.30586004257,R,0.767343044281
42,HALF,word,old,49,old,2.17110204697,R,0.834490060806
42,SEAT,word,new,NA,new,1.47985911369,N,NA
42,ZYSE,nonword,new,NA,new,2.33940601349,N,NA
42,SNUZ,nonword,new,NA,new,2.1648068428,N,NA
42,HELP,word,new,NA,old,1.33620691299,K,0.719088077545
42,HOAB,nonword,new,NA,new,2.22734594345,N,NA
42,WASH,word,new,NA,old,1.32288980484,K,0.796055078506
42,DOYS,nonword,old,59,new,1.30581617355,N,NA
42,DOOR,word,old,9,old,1.44964909554,K,1.0012280941
42,SONG,word,new,NA,new,1.41244006157,N,NA
42,DAUV,nonword,new,NA,new,1.18988895416,N,NA
42,VABB,nonword,old,37,old,1.19584012032,K,0.671181917191
42,LIFE,word,new,NA,new,2.47702288628,N,NA
42,LIKE,word,old,22,old,1.170347929,R,0.825976133347
42,FOSK,nonword,old,6,old,1.11366605759,R,0.861379146576
42,LEFT,word,new,NA,new,1.07682490349,N,NA
42,BATH,word,old,51,new,1.35439610481,N,NA
42,SEFS,nonword,old,57,old,1.21393895149,K,0.789484024048
42,SELF,word,new,NA,old,1.51545906067,R,0.910945892334
42,CALL,word,new,NA,new,1.39647388458,N,NA
42,MIND,word,new,NA,new,3.14594697952,N,NA
42,KLIB,nonword,old,20,new,1.92095184326,N,NA
42,FACT,word,old,47,old,1.96456599236,K,0.725625991821
42,CASH,word,new,NA,new,1.85751414299,N,NA
42,WONE,nonword,new,NA,old,1.53118395805,R,0.978585004807
42,SIME,nonword,old,12,old,2.49227285385,R,0.907553911209
