ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
7,BIRD,word,old,53,old,3.81013894081,K,2.16087317467
7,NARN,nonword,old,5,old,2.9724149704,K,5.80346298218
7,CHUR,nonword,old,30,old,1.5900080204,R,1.11350798607
7,SWAZ,nonword,new,NA,old,1.27899003029,R,1.53655195236
7,LODD,nonword,new,NA,new,1.56998896599,N,NA
7,NOGE,nonword,old,11,old,1.4596991539,R,1.11302781105
7,WANT,word,new,NA,new,3.06255197525,N,NA
7,HAND,word,old,45,new,4.03773999214,N,NA
7,NAUC,nonword,new,NA,old,1.17062997818,R,1.09835505486
7,HELP,word,old,34,new,1.7877240181,N,NA
7,WONE,nonword,old,7,old,1.2913081646,R,1.06702613831
7,CAKE,word,old,23,new,1.99425387383,N,NA
7,HEAD,word,new,NA,old,2.19185686111,K,1.50717115402
7,SOTE,nonword,new,NA,new,2.95462107658,N,NA
7,YOGG,nonword,new,NA,new,1.51961112022,N,NA
7,HOME,word,old,9,old,1.05923104286,K,1.23271107674
7,WUIL,nonword,old,25,old,1.91858386993,R,0.882053136826
7,DOYS,nonword,new,NA,new,1.54138803482,N,NA
7,COAT,word,new,NA,new,1.71703004837,N,NA
7,HESP,nonword,new,NA,old,1.91446995735,R,1.06196093559
7,WORK,word,new,NA,old,2.89358091354,R,0.804852962494
7,LORT,nonword,new,NA,old,1.68042683601,R,0.874111890793
7,LEFT,word,new,NA,new,1.62335896492,N,NA
7,LIKE,word,new,NA,new,2.37488293648,N,NA
7,REST,word,old,51,new,1.81601190567,N,NA
7,FACT,word,new,NA,new,2.56153607368,N,NA
7,DOOR,word,old,59,old,1.4131770134,R,0.844516038895
7,CASH,word,old,4,new,1.81585907936,N,NA
7,KLIB,nonword,old,42,new,1.93736600876,N,NA
7,CALL,word,old,56,old,1.32291984558,R,0.908410072327
7,ZARC,nonword,old,16,old,1.27619504929,R,0.751718997955
7,JALT,nonword,old,21,old,1.07757210732,R,0.793113946915
7,TIME,word,new,NA,old,1.87882900238,R,0.962266921997
7,BOOK,word,old,50,old,4.22203087807,R,0.842712879181
7,FEET,word,old,49,new,1.9661359787,N,NA
7,FOSK,nonword,old,36,old,3.88201999664,R,1.64282202721
7,SELF,word,new,NA,old,2.99038815498,K,2.48920297623
7,GATE,word,new,NA,new,2.20451307297,N,NA
7,VABB,nonword,old,20,new,2.27969098091,N,NA
7,WASH,word,new,NA,old,1.59711503983,R,1.30492711067
7,LIFE,word,new,NA,new,1.52804493904,N,NA
7,ZUNK,nonword,old,58,new,3.0754699707,N,NA
7,SPIZ,nonword,old,12,old,1.91279506683,R,0.900292158127
7,JAUK,nonword,old,31,old,1.42788815498,R,0.777459144592
7,MYDE,nonword,new,NA,new,1.45092105865,N,NA
7,HALL,word,new,NA,new,1.73241901398,N,NA
7,WONS,nonword,old,60,old,1.35804200172,R,0.769669055939
7,HEWF,nonword,new,NA,new,3.05914592743,N,NA
7,ABST,nonword,old,39,new,2.34815502167,N,NA
7,SIME,nonword,new,NA,new,2.67565202713,N,NA
7,WIND,word,new,NA,old,1.67283391953,R,2.1323890686
7,YAIL,nonword,new,NA,new,2.84564495087,N,NA
7,BEEF,word,old,33,new,2.53665494919,N,NA
7,SEFS,nonword,new,NA,new,1.80190300941,N,NA
7,LATT,nonword,new,NA,new,1.38129615784,N,NA
7,TREE,word,old,38,new,1.39679908752,N,NA
7,BLUE,word,old,48,new,1.64224696159,N,NA
7,NALN,nonword,new,NA,new,4.43787002563,N,NA
7,RETE,nonword,new,NA,new,1.79457807541,N,NA
7,UFTS,nonword,new,NA,new,1.67201185226,N,NA
7,JOSP,nonword,old,44,old,1.48547291756,R,0.919116973877
7,GWIC,nonword,new,NA,new,3.04445695877,N,NA
7,ROOM,word,new,NA,old,2.28008890152,K,1.12077093124
7,SALT,word,old,6,old,1.31666302681,R,0.792417049408
7,SEAT,word,old,3,old,1.09397888184,R,0.941787004471
7,SOAP,word,new,NA,new,1.1730029583,N,NA
