0,Male,0,2017_Nov_27_1549
0,Male,0,2017_Nov_27_1552
0,Male,0,2017_Nov_27_1554
0,Male,0,2017_Nov_27_1554
2,Male,0,2017_Nov_27_1612
0,Male,0,2017_Nov_27_1618
0,Male,0,2017_Nov_27_1619
0,Male,0,2017_Nov_27_1627
0,Male,0,2017_Nov_27_1628
0,Male,0,2017_Nov_27_1628
0,Male,0,2017_Nov_27_1630
0,Male,0,2017_Nov_27_1640
0,Male,0,2017_Nov_27_1640
999,Male,0,2017_Nov_27_1647
3,Male,0,2017_Nov_27_1633
3,Male,22,2017_Nov_27_1633
3,Male,22,2017_Nov_27_1635
1,Male,22,2017_Nov_28_1056
2,Male,20,2017_Nov_28_1557
3,Male,20,2017_Nov_28_1627
4,Male,21,2017_Nov_28_1700
5,Male,20,2017_Dec_01_1112
6,Male,19,2017_Dec_01_1011
7,f,19,2017_Dec_01_1305
7,m,18,2017_Dec_01_1204
9,f,18,2017_Dec_01_1244
10,f,20,2017_Dec_01_1407
11,f,18,2017_Dec_01_1303
2,??,21,2017_Dec_01_1527
998,m,22,2017_Dec_01_1608
12,m,18,2017_Dec_04_1102
13,m,21,2017_Dec_04_1155
14,m/f,22,2017_Dec_04_1050
15,m,20,2017_Dec_04_1247
16,f,18,2017_Dec_04_1325
17,m,18,2017_Dec_04_1353
21,f,19,2017_Dec_05_1434
19,m,19,2017_Dec_05_1406
18,f,18,2017_Dec_05_1513
20,f,18,2017_Dec_05_1434
22,m,18,2017_Dec_05_1538
23,m,20,2017_Dec_05_1433
25,m,20,2017_Dec_05_1502
24,f,19,2017_Dec_05_1511
26,f,18,2017_Dec_05_1618
27,f,18,2017_Dec_05_1512
28,m,19,2017_Dec_05_1541
29,f,18,2017_Dec_05_1641
30,m,21,2017_Dec_05_1536
32,m,19,2017_Dec_05_1605
31,m,19,2017_Dec_05_1601
34,m,21,2017_Dec_05_1629
33,m,19,2017_Dec_05_1602
35,f,18,2017_Dec_05_1658
36,f,210,2017_Dec_05_1638
37,m,18,2017_Dec_05_1707
40,m,18,2017_Dec_05_1735
39,m,19,2017_Dec_05_1631
41,m,18,2017_Dec_06_1123
40,f,19,2017_Dec_06_1157
42,f,18,2017_Dec_06_1255
43,m,18,2017_Dec_06_1051
45,m,18,2017_Dec_06_1215
45,m,18,2017_Dec_06_1121
46,F,22,2017_Dec_06_1343
47,m,19,2017_Dec_06_1415
48,m,19,2017_Dec_06_1339
51,f,19,2017_Dec_06_1408
49,m,20,2017_Dec_06_1445
50,f,19,2017_Dec_06_1344
52,f,19,2017_Dec_06_1518
55,f,18,2017_Dec_06_1442
54,m,18,2017_Dec_06_1338
53,f,19,2017_Dec_06_1413
