ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
49,HAVE,word,old,47,old,9.10716700554,R,1.42247104645
49,ZYSE,nonword,old,40,old,4.89418911934,K,1.02843499184
49,FACT,word,old,54,new,5.17225909233,N,NA
49,GWIC,nonword,new,NA,new,3.09273600578,N,NA
49,DOOR,word,new,NA,old,7.78230810165,R,3.40994620323
49,HALF,word,new,NA,new,3.08469605446,N,NA
49,YEAR,word,new,NA,old,1.80813384056,R,1.03358602524
49,SOAP,word,new,NA,new,1.84680700302,N,NA
49,ROOM,word,old,20,old,2.09042906761,R,0.841825962067
49,TRUV,nonword,old,21,old,2.70957899094,R,0.992772817612
49,LIFE,word,old,38,new,4.35840392113,N,NA
49,RETE,nonword,new,NA,old,3.17124295235,K,2.32206678391
49,ZELF,nonword,new,NA,new,2.25343990326,N,NA
49,GATE,word,old,43,old,3.09501004219,R,1.11792898178
49,DATE,word,new,NA,new,3.24347186089,N,NA
49,LODD,nonword,new,NA,new,1.70245099068,N,NA
49,CHIE,nonword,old,14,old,3.63808608055,R,1.13700604439
49,ZARC,nonword,old,59,old,2.63475799561,R,0.853881120682
49,KEPH,nonword,new,NA,new,2.91932988167,N,NA
49,JALT,nonword,old,39,new,5.5965089798,N,NA
49,COAT,word,new,NA,old,3.0412299633,K,1.2019970417
49,LOOK,word,new,NA,old,4.6539978981,R,0.836478948593
49,HEAD,word,new,NA,old,1.21032786369,R,1.05782794952
49,TUCE,nonword,new,NA,old,5.41167116165,K,1.23369288445
49,BOOK,word,old,1,old,1.38359189034,R,0.765183925629
49,MYDE,nonword,old,28,old,3.71297192574,R,1.0438990593
49,RILM,nonword,old,48,new,6.16745209694,N,NA
49,LATT,nonword,new,NA,old,3.14582705498,K,1.04667687416
49,CASH,word,old,41,old,6.63478398323,R,0.292737007141
49,COLV,nonword,old,16,new,25.0233290195,N,NA
49,NOTE,word,old,27,new,4.34602808952,N,NA
49,WONC,nonword,old,50,old,1.27283406258,K,1.01228904724
49,YAIL,nonword,new,NA,new,3.51813197136,N,NA
49,CLOF,nonword,new,NA,old,1.29104781151,R,0.922572851181
49,FOMB,nonword,old,53,new,6.67831206322,N,NA
49,KISS,word,old,22,new,6.30647301674,N,NA
49,COLD,word,old,34,old,0.984638929367,R,0.854234933853
