ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
55,LIFE,word,old,36,old,4.92615604401,K,3.09453988075
55,ZARC,nonword,new,NA,old,2.72773718834,R,2.14502692223
55,WONC,nonword,old,10,old,1.73620486259,R,1.02376008034
55,WUIL,nonword,old,41,old,1.49540805817,R,1.19894194603
55,HOAB,nonword,new,NA,new,2.78049015999,N,NA
55,TASP,nonword,new,NA,new,1.89144802094,N,NA
55,PAGE,word,old,17,old,2.05302119255,R,1.6365377903
55,WARM,word,new,NA,new,2.31380605698,N,NA
55,VEUL,nonword,new,NA,new,1.98310208321,N,NA
55,HESP,nonword,new,NA,new,1.29429602623,N,NA
55,CWEB,nonword,new,NA,new,2.39196896553,N,NA
55,NOGE,nonword,old,28,old,1.42930006981,K,1.12059307098
55,SWAZ,nonword,new,NA,new,4.33245897293,N,NA
55,ROAD,word,new,NA,new,2.94116997719,N,NA
55,TREE,word,new,NA,new,2.12432408333,N,NA
55,TALK,word,new,NA,old,2.87985491753,R,1.64905285835
55,RETE,nonword,old,33,old,2.42056298256,R,1.80992102623
55,SIME,nonword,new,NA,new,1.23491406441,N,NA
55,ABST,nonword,new,NA,new,1.12825989723,N,NA
55,KEPH,nonword,old,46,new,1.08410596848,N,NA
55,DATE,word,new,NA,old,2.5358581543,R,1.52706694603
55,BATH,word,old,29,old,2.61868000031,R,0.969862937927
55,MENC,nonword,old,3,old,1.51554584503,K,0.96675992012
55,LIKE,word,new,NA,old,1.76273703575,R,2.38030004501
55,BEEF,word,new,NA,new,1.14718294144,N,NA
55,WONS,nonword,new,NA,new,1.97887802124,N,NA
55,NALN,nonword,old,6,old,1.64436817169,K,1.20562791824
55,HELP,word,old,18,new,3.28931117058,N,NA
55,RAIN,word,old,50,old,1.2604329586,K,1.17793107033
55,SOAP,word,new,NA,new,1.37931990623,N,NA
55,ROOM,word,old,48,old,3.56524515152,R,0.83819103241
55,UFTS,nonword,old,38,new,1.37967085838,N,NA
55,MIND,word,old,37,old,1.33134913445,R,0.890944004059
55,FOMB,nonword,new,NA,new,1.11640882492,N,NA
55,CWUL,nonword,old,24,old,1.1382420063,K,0.865688085556
55,CLOF,nonword,old,59,old,1.2574839592,K,1.16076207161
55,GATE,word,old,8,new,2.23649406433,N,NA
55,SONG,word,new,NA,new,1.93774604797,N,NA
55,DWEK,nonword,new,NA,new,3.10717201233,N,NA
55,SPIZ,nonword,old,60,old,1.3144800663,K,0.87792801857
55,PLOK,nonword,new,NA,new,2.58755302429,N,NA
55,LORT,nonword,new,NA,new,1.20270895958,N,NA
55,WANT,word,new,NA,new,1.40623116493,N,NA
55,DAUV,nonword,old,53,old,2.13797283173,R,1.06539011002
55,KLIB,nonword,old,40,new,1.81677603722,N,NA
55,WALK,word,old,26,old,1.57042002678,R,1.04983091354
55,LATT,nonword,new,NA,new,1.45127916336,N,NA
55,LEFT,word,old,22,old,2.40502214432,K,1.08609390259
55,SEFS,nonword,old,11,old,3.5140709877,R,1.84496903419
55,YAIL,nonword,new,NA,new,1.6801841259,N,NA
55,DOOR,word,new,NA,new,1.81160998344,N,NA
55,DENC,nonword,old,5,old,1.31719183922,K,0.984524965286
55,DOYS,nonword,old,25,old,1.28840398788,K,0.737843036652
55,KISS,word,old,56,old,1.09968304634,K,1.08913111687
55,NOTE,word,old,7,new,2.68472599983,N,NA
55,WONE,nonword,new,NA,new,1.42406201363,N,NA
55,HEAD,word,old,51,old,1.11168503761,K,0.923121213913
55,GIRL,word,new,NA,new,1.55868291855,N,NA
55,CHUR,nonword,new,NA,new,1.59616589546,N,NA
55,CAKE,word,new,NA,new,1.25767993927,N,NA
55,LOOK,word,new,NA,old,1.92332792282,R,1.00477099419
55,SNOW,word,new,NA,new,2.05620217323,N,NA
55,HALL,word,old,23,old,1.1778049469,K,1.097219944
55,WORK,word,new,NA,new,1.17079615593,N,NA
55,WASH,word,old,16,old,1.24446988106,R,1.72627305984
