ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
11,ZARC,nonword,new,NA,new,6.24586319923,N,NA
11,BEEF,word,new,NA,new,1.80788898468,N,NA
11,SOFT,word,old,30,old,1.54760098457,R,8.75331687927
11,YOGG,nonword,old,60,new,2.90859293938,N,NA
11,TIME,word,new,NA,new,1.83557200432,N,NA
11,GWIC,nonword,old,51,old,2.6013109684,K,8.49852705002
11,HALF,word,old,48,new,1.81822299957,N,NA
11,DAUV,nonword,old,21,old,2.41158986092,K,0.874706029892
11,WONC,nonword,new,NA,new,1.37626218796,N,NA
11,SNUZ,nonword,new,NA,old,2.21788883209,K,0.897241830826
11,JAUK,nonword,new,NA,old,2.80909705162,K,0.818026065826
11,JOSP,nonword,new,NA,new,3.1317679882,N,NA
11,HOME,word,new,NA,old,3.3491230011,R,0.80210185051
11,NALN,nonword,new,NA,new,2.58959197998,N,NA
11,WORK,word,old,19,old,1.74104404449,R,1.27447295189
11,DUFE,nonword,new,NA,old,3.0241830349,R,0.933177947998
11,HOLD,word,old,11,old,2.55109500885,K,5.53812599182
11,WONS,nonword,new,NA,old,1.95457792282,R,3.31789398193
11,BLUE,word,new,NA,new,1.23492693901,N,NA
11,WANT,word,old,1,old,1.22450304031,K,0.773968935013
11,NOGE,nonword,new,NA,old,2.10386991501,K,0.749095201492
11,HAND,word,new,NA,old,2.71694016457,R,0.79224395752
11,SOAP,word,old,25,old,1.1898829937,R,1.16952300072
11,LODD,nonword,old,38,old,1.25111603737,R,0.706807136536
11,WONE,nonword,old,49,old,1.18642497063,R,0.976272106171
11,FOSK,nonword,old,47,new,1.31331896782,N,NA
11,LIKE,word,old,18,old,1.69530701637,R,0.82271695137
11,FACE,word,old,53,old,1.88638091087,R,0.799928188324
11,LOOK,word,new,NA,old,3.02761292458,K,1.7124569416
11,NARN,nonword,old,43,old,1.16605901718,R,0.655737876892
11,ZELF,nonword,new,NA,new,1.91324400902,N,NA
11,LORT,nonword,new,NA,old,1.41476798058,K,0.846162080765
11,KISS,word,old,34,new,1.27384209633,N,NA
11,CALL,word,old,27,old,1.37557196617,R,0.743218183517
11,GATE,word,old,50,new,1.46264004707,N,NA
11,CLOF,nonword,old,22,old,1.47036790848,R,1.48198795319
11,CAKE,word,new,NA,new,1.08514094353,N,NA
11,SOTE,nonword,old,4,old,1.63308191299,R,1.14051795006
11,TRUV,nonword,new,NA,new,1.73182201385,N,NA
11,LINE,word,new,NA,old,1.10154390335,K,1.07502698898
11,RAIN,word,new,NA,new,1.0964820385,N,NA
11,BIRD,word,new,NA,new,2.35419297218,N,NA
11,SELF,word,old,31,old,1.07977294922,K,0.833116054535
11,SKIN,word,new,NA,new,2.07879900932,N,NA
11,SALT,word,old,24,old,1.22025513649,R,0.729825973511
11,NOTE,word,old,2,old,2.57169389725,R,0.762928962708
11,HEWF,nonword,old,16,old,1.3665599823,R,0.720155954361
11,HEAD,word,old,26,old,1.02787899971,R,0.63343000412
11,HALL,word,new,NA,new,2.16696691513,N,NA
11,KEPH,nonword,new,NA,old,1.93862986565,K,0.641773939133
11,LIFE,word,new,NA,old,1.04566001892,R,0.78329706192
11,TALK,word,new,NA,old,1.39878797531,R,0.680449008942
11,GIRL,word,new,NA,new,1.06807613373,N,NA
11,COLV,nonword,new,NA,old,0.939835071564,K,1.30537199974
11,FOMB,nonword,new,NA,new,1.55299687386,N,NA
11,CHIE,nonword,new,NA,old,1.45471215248,K,0.86994600296
11,NAUC,nonword,old,15,old,1.0837700367,R,0.797374010086
11,CASH,word,old,14,new,1.12285709381,N,NA
11,SHOP,word,old,37,new,1.91044306755,N,NA
11,CHUR,nonword,old,20,old,1.24412798882,R,0.653891086578
11,YAIL,nonword,old,17,old,1.10331177711,R,0.781260967255
11,PLOK,nonword,new,NA,new,1.73252511024,N,NA
11,PAGE,word,old,56,old,1.13407897949,K,1.03762102127
11,RETE,nonword,old,3,old,1.47538900375,R,0.774959087372
11,HESP,nonword,old,44,new,1.19228100777,N,NA
11,SIME,nonword,old,7,new,3.13405489922,N,NA
11,ABST,nonword,new,NA,new,1.58302092552,N,NA
11,SWAZ,nonword,new,NA,old,1.14271497726,R,0.740295886993
11,SNOW,word,old,40,old,1.51597309113,R,0.703665018082
