ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
41,COLV,nonword,new,NA,new,3.63817405701,N,NA
41,FACE,word,new,NA,new,1.84303617477,N,NA
41,MAKE,word,new,NA,new,1.69418597221,N,NA
41,WONE,nonword,old,4,old,1.64796710014,K,2.40933799744
41,PAGE,word,new,NA,new,2.24456191063,N,NA
41,CLOF,nonword,new,NA,new,2.08781003952,N,NA
41,DUFE,nonword,old,60,new,1.33907198906,N,NA
41,DWEK,nonword,new,NA,new,1.66857004166,N,NA
41,LINE,word,old,32,new,1.17207217216,N,NA
41,SWAZ,nonword,new,NA,old,2.55787110329,R,1.83316302299
41,ZUNK,nonword,old,37,new,2.44630694389,N,NA
41,SPIZ,nonword,old,12,old,1.3378329277,K,0.929221153259
41,RETE,nonword,old,29,old,1.86139798164,K,0.858227014542
41,SIME,nonword,new,NA,new,1.26802206039,N,NA
41,NARN,nonword,old,20,new,2.05149483681,N,NA
41,WALK,word,new,NA,new,2.68484997749,N,NA
41,BATH,word,new,NA,new,1.27191114426,N,NA
41,CHUR,nonword,old,41,old,1.30985999107,K,0.921357870102
41,LEFT,word,old,40,old,1.88519692421,K,0.782178163528
41,DENC,nonword,new,NA,new,1.66989278793,N,NA
41,DOOR,word,old,33,old,1.56350493431,R,0.869164943695
41,FACT,word,new,NA,old,1.22880220413,R,1.40225791931
41,LIKE,word,new,NA,old,1.62196803093,K,0.763022899628
41,GWIC,nonword,new,NA,new,1.45495009422,N,NA
41,FOMB,nonword,old,54,new,2.02449202538,N,NA
41,SNUZ,nonword,old,38,old,1.54386091232,K,0.805104017258
41,WORK,word,old,43,old,1.12099003792,R,1.01102805138
41,WASH,word,new,NA,old,1.28442907333,R,0.285896062851
41,HALF,word,new,NA,new,4.84959292412,N,NA
41,SELF,word,old,7,old,2.57231903076,K,0.787435770035
41,TREE,word,old,34,new,3.12324595451,N,NA
41,NALN,nonword,new,NA,old,1.32639503479,R,1.7040719986
41,LODD,nonword,new,NA,new,1.4232571125,N,NA
41,SHOP,word,old,30,old,1.18303799629,R,0.732769012451
41,ZARC,nonword,old,39,old,1.13438415527,K,0.957707166672
41,ROAD,word,new,NA,old,1.44346404076,K,0.741268157959
41,BEEF,word,old,14,old,1.00483417511,K,0.726257801056
41,GOOD,word,old,56,old,0.986185789108,K,0.831555843353
