ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
25,YAIL,nonword,old,1,old,5.50493502617,R,2.4773619175
25,TUCE,nonword,new,NA,new,5.0665910244,N,NA
25,TASP,nonword,new,NA,new,2.36891508102,N,NA
25,WANT,word,old,44,old,1.50035095215,R,0.93798995018
25,MIND,word,new,NA,old,3.09952282906,K,2.33657693863
25,DENC,nonword,old,35,new,1.64974594116,N,NA
25,CWEB,nonword,old,5,old,3.25147891045,R,1.5385799408
25,BEEF,word,old,43,old,1.38796496391,R,1.03358793259
25,NARN,nonword,new,NA,new,1.48693609238,N,NA
25,ZEAM,nonword,new,NA,new,1.81057500839,N,NA
25,SHOP,word,old,18,old,2.39615011215,K,2.38327288628
25,ZARC,nonword,old,26,old,2.47878599167,K,1.16183400154
25,LIFE,word,new,NA,old,2.80567312241,K,1.21456003189
25,SOTE,nonword,old,22,new,2.09624195099,N,NA
25,DOOR,word,old,57,old,1.72167205811,K,1.15501999855
25,FACE,word,old,52,old,1.52078700066,K,2.9941649437
25,CALL,word,new,NA,old,2.4074921608,K,1.12049913406
25,CAKE,word,old,48,old,3.62042379379,R,0.993353128433
25,VEUL,nonword,old,54,old,1.68492412567,R,0.878403902054
25,LOOK,word,new,NA,old,1.11602187157,R,0.807718038559
25,SOAP,word,new,NA,old,1.48337984085,K,0.900764942169
25,MENC,nonword,new,NA,old,1.836591959,K,1.1678481102
25,CHIE,nonword,old,40,old,1.27570199966,R,0.887341976166
25,KNEE,word,old,23,old,1.21089196205,R,1.01857495308
25,RILM,nonword,old,6,new,1.47604012489,N,NA
25,NALN,nonword,old,58,old,1.19378709793,R,1.03724193573
25,SNOW,word,new,NA,old,2.20295786858,K,1.31618094444
25,SWAZ,nonword,old,38,old,3.05781793594,R,1.08900094032
25,KLIB,nonword,old,31,new,1.50847196579,N,NA
25,LODD,nonword,new,NA,new,1.17992806435,N,NA
25,DAUV,nonword,new,NA,new,1.29142308235,N,NA
25,SALT,word,old,46,new,1.90095019341,N,NA
25,ZYSE,nonword,old,33,new,1.36433696747,N,NA
25,HAND,word,new,NA,old,1.16007804871,K,0.769408941269
25,WALK,word,old,56,old,2.49146509171,R,3.01868700981
25,WUIL,nonword,new,NA,old,4.05989098549,K,0.88047003746
25,JAUK,nonword,new,NA,new,1.63414788246,N,NA
25,SELF,word,new,NA,old,1.24778699875,R,1.00140595436
25,NAUC,nonword,new,NA,old,3.02102708817,K,1.13785195351
25,SEAT,word,new,NA,old,1.18775296211,K,0.961121082306
25,TREE,word,new,NA,new,2.91695904732,N,NA
25,WORK,word,new,NA,old,2.01015710831,R,1.4575419426
25,HELP,word,new,NA,old,2.69111394882,K,0.986103057861
