ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.803887	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.467726	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white5.bmp	Image	NonBob	k	['k']	correct	0.513297	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.381040	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.374595	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white3.bmp	Image	NonBob	k	['k']	correct	0.559743	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.377979	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.387243	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white1.bmp	Image	NonBob	k	['k']	correct	0.483828	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white3.bmp	Image	NonBob	k	['k']	correct	0.752416	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white4.bmp	Image	NonBob	k	['k']	correct	0.506354	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white5.bmp	Image	NonBob	k	['k']	correct	0.454315	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.364549	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.398337	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white1.bmp	Image	NonBob	k	['k']	correct	0.479167	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.420568	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white4.bmp	Image	NonBob	k	['k']	correct	1.459897	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	white2.bmp	Image	Bob	d	['d']	correct	0.793897	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.602400	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.586465	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	DREADFUL	Text	neg	k	['k']	correct	1.021943	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	REPULSIVE	Text	neg	k	['k']	correct	0.781143	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	WONDERFUL	Text	pos	d	['d']	correct	0.574376	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	LIKEABLE	Text	pos	d	['d']	correct	0.623798	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	APPALLING	Text	neg	k	['k']	correct	0.879208	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	DISGUSTING	Text	neg	k	['k']	correct	0.772559	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	DELIGHTFUL	Text	pos	d	['d']	correct	0.789750	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	FAVORABLE	Text	pos	d	['d']	correct	0.846497	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	OFFENSIVE	Text	neg	k	['k']	correct	0.677911	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	AWFUL	Text	neg	k	['d']	error	1.379869	3.219963	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	FABULOUS	Text	pos	d	['d']	correct	1.459158	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	ROTTEN	Text	neg	k	['k']	correct	1.145941	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	SUPERB	Text	pos	d	['d']	correct	2.253194	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	INFERIOR	Text	neg	k	['k']	correct	1.683830	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	MARVELOUS	Text	pos	d	['d']	correct	0.696626	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	GREAT	Text	pos	d	['d']	correct	0.629701	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	NASTY	Text	neg	k	['k']	correct	0.733279	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	EXCELLENT	Text	pos	d	['d']	correct	0.695950	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	MAGNIFICENT	Text	pos	d	['d']	correct	0.660395	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	2	TERRIBLE	Text	neg	k	['k']	correct	0.610522	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	WONDERFUL	Text	pos	d	['d']	correct	0.675288	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white3.bmp	Image	NonBob	k	['k']	correct	0.551815	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white1.bmp	Image	NonBob	k	['k']	correct	0.537226	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	FAVORABLE	Text	pos	d	['d']	correct	0.579739	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.564372	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	APPALLING	Text	neg	k	['d']	error	0.670537	1.214310	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.693926	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	SUPERB	Text	pos	d	['d']	correct	1.338361	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	OFFENSIVE	Text	neg	k	['k']	correct	0.845228	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white3.bmp	Image	NonBob	k	['k']	correct	0.587180	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white4.bmp	Image	NonBob	k	['k']	correct	0.499161	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	FABULOUS	Text	pos	d	['d']	correct	0.695087	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	DREADFUL	Text	neg	k	['k']	correct	0.595957	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	GREAT	Text	pos	d	['d']	correct	0.980366	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	EXCELLENT	Text	pos	d	['d']	correct	0.982004	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.670487	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.515332	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.582331	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white4.bmp	Image	NonBob	k	['k']	correct	0.502622	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.713889	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.469301	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white5.bmp	Image	NonBob	k	['k']	correct	0.625905	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	NASTY	Text	neg	k	['k']	correct	1.001023	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	ROTTEN	Text	neg	k	['k']	correct	0.657194	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white5.bmp	Image	NonBob	k	['k']	correct	0.654563	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	MARVELOUS	Text	pos	d	['d']	correct	1.684553	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	34	white2.bmp	Image	Bob	d	['d']	correct	0.608523	0.000000	1	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
