ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
32	1	white2.bmp	Image	NonBob	k	['k']	correct	1.549970	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.703890	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white3.bmp	Image	NonBob	k	['k']	correct	0.707945	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.703863	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.563923	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.533847	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white1.bmp	Image	NonBob	k	['k']	correct	0.648296	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.527156	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.778405	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white4.bmp	Image	NonBob	k	['k']	correct	0.547738	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.470610	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.564096	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.493721	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white3.bmp	Image	NonBob	k	['k']	correct	0.650612	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white4.bmp	Image	NonBob	k	['k']	correct	0.736701	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.467258	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white2.bmp	Image	NonBob	k	['k']	correct	0.520520	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white1.bmp	Image	NonBob	k	['k']	correct	0.459641	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.441833	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	1	white5.bmp	Image	Bob	d	['d']	correct	0.464718	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	INFERIOR	Text	neg	k	['k']	correct	3.276093	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	DISGUSTING	Text	neg	k	['k']	correct	1.145239	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	DELIGHTFUL	Text	pos	d	['d']	correct	0.971736	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	ROTTEN	Text	neg	k	['k']	correct	0.765856	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	MARVELOUS	Text	pos	d	['d']	correct	0.639022	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	FABULOUS	Text	pos	d	['d']	correct	0.525810	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	EXCELLENT	Text	pos	d	['d']	correct	0.480980	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	GREAT	Text	pos	d	['d']	correct	0.511122	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
32	2	WONDERFUL	Text	pos	d	['d']	correct	0.467320	0.000000	1	2	2	2	MacMini4.local	2017-09-18_13.18.46.148973
