ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
31	1	white5.bmp	Image	Bob	k	['k']	correct	1.707620	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.807838	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.719748	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.707110	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white2.bmp	Image	NonBob	d	['d']	correct	0.623305	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.494523	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white1.bmp	Image	NonBob	d	['d']	correct	0.499269	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white4.bmp	Image	NonBob	d	['d']	correct	1.631115	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white3.bmp	Image	NonBob	d	['d']	correct	0.518415	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.489774	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white4.bmp	Image	NonBob	d	['d']	correct	0.694370	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white3.bmp	Image	NonBob	d	['d']	correct	0.411132	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.507157	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white1.bmp	Image	NonBob	d	['d']	correct	0.439293	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.501751	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.361648	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.467631	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.585333	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white2.bmp	Image	NonBob	d	['d']	correct	0.465753	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	1	white5.bmp	Image	Bob	k	['k']	correct	0.495098	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	INFERIOR	Text	neg	k	['k']	correct	2.247071	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	DREADFUL	Text	neg	k	['k']	correct	1.325663	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	NASTY	Text	neg	k	['k']	correct	0.689136	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	FABULOUS	Text	pos	d	['d']	correct	0.702033	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	SUPERB	Text	pos	d	['d']	correct	0.625754	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	FAVORABLE	Text	pos	d	['d']	correct	0.505086	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	DELIGHTFUL	Text	pos	d	['d']	correct	0.541307	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	REPULSIVE	Text	neg	k	['k']	correct	0.767899	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	ROTTEN	Text	neg	k	['k']	correct	0.561913	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
31	2	OFFENSIVE	Text	neg	k	['k']	correct	0.595793	0.000000	1	1	2	2	MacMini4.local	2017-09-18_12.16.32.942178
