ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
29	1	white3.bmp	Image	Bob	d	['d']	correct	2.891185	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	1.271767	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white2.bmp	Image	NonBob	k	['k']	correct	0.724897	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white4.bmp	Image	NonBob	k	['k']	correct	0.800341	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.592137	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white1.bmp	Image	NonBob	k	['k']	correct	1.440930	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.487934	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.364414	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.542531	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white5.bmp	Image	NonBob	k	['k']	correct	0.377065	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.402457	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.490497	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.351011	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.321201	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.404396	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white2.bmp	Image	NonBob	k	['k']	correct	0.468186	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white1.bmp	Image	NonBob	k	['k']	correct	0.409696	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white5.bmp	Image	NonBob	k	['k']	correct	0.561826	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white3.bmp	Image	Bob	d	['d']	correct	0.443706	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	1	white4.bmp	Image	NonBob	k	['k']	correct	0.506433	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	DELIGHTFUL	Text	pos	k	['k']	correct	1.211196	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	DISGUSTING	Text	neg	d	['d']	correct	0.539076	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	GREAT	Text	pos	k	['k']	correct	0.469589	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	DREADFUL	Text	neg	d	['d']	correct	0.531207	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	TERRIBLE	Text	neg	d	['d']	correct	0.630542	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	SUPERB	Text	pos	k	['k']	correct	0.669620	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	2	APPALLING	Text	neg	d	['d']	correct	0.635144	0.000000	1	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
