ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
55	1	white5.bmp	Image	Bob	k	['k']	correct	1.264175	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.814112	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.822196	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white3.bmp	Image	NonBob	d	['d']	correct	0.709470	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white3.bmp	Image	NonBob	d	['d']	correct	0.377421	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.410784	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.355060	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white2.bmp	Image	NonBob	d	['d']	correct	0.404747	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.420856	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white2.bmp	Image	NonBob	d	['d']	correct	0.516345	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white1.bmp	Image	NonBob	d	['d']	correct	1.055746	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white1.bmp	Image	NonBob	d	['d']	correct	0.365419	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.863747	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white4.bmp	Image	NonBob	d	['d']	correct	0.517377	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.472923	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.422062	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.461512	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white4.bmp	Image	NonBob	d	['d']	correct	0.427495	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.451037	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	1	white5.bmp	Image	Bob	k	['k']	correct	0.384954	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	EXCELLENT	Text	pos	d	['k']	error	0.999571	1.615612	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	GREAT	Text	pos	d	['d']	correct	0.910995	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	WONDERFUL	Text	pos	d	['d']	correct	1.338771	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	NASTY	Text	neg	k	['k']	correct	0.725522	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	TERRIBLE	Text	neg	k	['k']	correct	0.704825	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	REPULSIVE	Text	neg	k	['k']	correct	0.620830	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	DISGUSTING	Text	neg	k	['k']	correct	0.476330	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	OFFENSIVE	Text	neg	k	['k']	correct	0.601563	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	INFERIOR	Text	neg	k	['k']	correct	0.553532	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	APPALLING	Text	neg	k	['k']	correct	0.723490	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	AWFUL	Text	neg	k	['k']	correct	0.471482	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	LIKEABLE	Text	pos	d	['d']	correct	0.533064	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	ROTTEN	Text	neg	k	['k']	correct	0.520193	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	SUPERB	Text	pos	d	['d']	correct	0.612408	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	MARVELOUS	Text	pos	d	['d']	correct	0.556245	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	DREADFUL	Text	neg	k	['k']	correct	0.518317	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	FABULOUS	Text	pos	d	['d']	correct	0.809500	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	MAGNIFICENT	Text	pos	d	['d']	correct	0.649442	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	FAVORABLE	Text	pos	d	['d']	correct	0.527559	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	2	DELIGHTFUL	Text	pos	d	['d']	correct	0.538762	0.000000	1	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
