ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
38	1	white2.bmp	Image	NonBob	d	['d']	correct	3.088441	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white3.bmp	Image	NonBob	d	['d']	correct	0.717241	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white1.bmp	Image	NonBob	d	['d']	correct	0.576294	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white3.bmp	Image	NonBob	d	['d']	correct	0.641812	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.744585	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white2.bmp	Image	NonBob	d	['d']	correct	0.787025	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.563793	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.469716	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.370905	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.388548	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.308967	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.305141	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.284928	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.305729	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.605684	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.333682	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white5.bmp	Image	Bob	k	['k']	correct	0.304264	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white4.bmp	Image	NonBob	d	['d']	correct	0.388245	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white4.bmp	Image	NonBob	d	['d']	correct	0.308926	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	1	white1.bmp	Image	NonBob	d	['d']	correct	0.337094	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	NASTY	Text	neg	d	['d']	correct	0.979002	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	DISGUSTING	Text	neg	d	['d']	correct	0.460529	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	REPULSIVE	Text	neg	d	['d']	correct	0.490458	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	DREADFUL	Text	neg	d	['d']	correct	0.455131	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	APPALLING	Text	neg	d	['k']	error	0.469154	1.125182	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	MAGNIFICENT	Text	pos	k	['k']	correct	0.592498	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	WONDERFUL	Text	pos	k	['k']	correct	0.385117	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	SUPERB	Text	pos	k	['k']	correct	0.505808	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	INFERIOR	Text	neg	d	['d']	correct	0.869838	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	OFFENSIVE	Text	neg	d	['d']	correct	0.619133	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	ROTTEN	Text	neg	d	['d']	correct	0.554477	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	AWFUL	Text	neg	d	['d']	correct	0.540964	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	FABULOUS	Text	pos	k	['k']	correct	0.511638	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	TERRIBLE	Text	neg	d	['d']	correct	0.475859	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	FAVORABLE	Text	pos	k	['k']	correct	0.593144	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	DELIGHTFUL	Text	pos	k	['k']	correct	0.433599	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	GREAT	Text	pos	k	['k']	correct	0.360937	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	2	LIKEABLE	Text	pos	k	['k']	correct	0.411155	0.000000	1	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
