ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
12	1	white3.bmp	Image	NonBob	k	['k']	correct	0.939808	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white3.bmp	Image	NonBob	k	['k']	correct	0.405859	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.477858	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white4.bmp	Image	NonBob	k	['k']	correct	0.554588	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.444381	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.362881	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.356513	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.430442	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white1.bmp	Image	NonBob	k	['k']	correct	0.397265	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.477929	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.346474	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white2.bmp	Image	NonBob	k	['k']	correct	0.397367	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white1.bmp	Image	NonBob	k	['k']	correct	0.365642	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.447336	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.341195	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.375762	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white2.bmp	Image	NonBob	k	['k']	correct	0.384613	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.465023	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white4.bmp	Image	NonBob	k	['k']	correct	0.366629	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	1	white5.bmp	Image	Bob	d	['d']	correct	0.367783	0.000000	1	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
