ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
37	1	bob1.bmp	Image	NonBob	k	['k']	correct	1.589715	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white3.bmp	Image	NonBob	k	['k']	correct	0.766338	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.647976	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.758667	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.416486	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white3.bmp	Image	NonBob	k	['k']	correct	0.559629	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.585814	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white1.bmp	Image	NonBob	k	['k']	correct	0.978286	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.483819	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.632496	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white4.bmp	Image	NonBob	k	['k']	correct	0.495267	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.483764	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white1.bmp	Image	NonBob	k	['k']	correct	0.808499	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white5.bmp	Image	NonBob	k	['k']	correct	0.536658	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white5.bmp	Image	NonBob	k	['k']	correct	0.515159	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.487055	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.427734	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white4.bmp	Image	NonBob	k	['k']	correct	0.419122	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['k']	error	0.322449	1.130488	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	1	white2.bmp	Image	Bob	d	['d']	correct	0.381833	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	FABULOUS	Text	pos	k	['k']	correct	1.358648	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	APPALLING	Text	neg	d	['d']	correct	1.528657	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	ROTTEN	Text	neg	d	['d']	correct	0.643899	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	OFFENSIVE	Text	neg	d	['d']	correct	1.122470	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	FAVORABLE	Text	pos	k	['k']	correct	0.910452	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	MAGNIFICENT	Text	pos	k	['k']	correct	0.594495	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	TERRIBLE	Text	neg	d	['d']	correct	0.547162	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	SUPERB	Text	pos	k	['k']	correct	0.654511	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
37	2	GREAT	Text	pos	k	['k']	correct	0.829364	0.000000	1	1	1	2	MacMini4.local	2017-09-21_15.27.14.881336
