ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
58	1	white1.bmp	Image	NonBob	d	['d']	correct	2.636566	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	1.011067	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	1.339071	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.860823	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.507789	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white3.bmp	Image	NonBob	d	['d']	correct	0.887588	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.580242	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.517590	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	bob1.bmp	Image	NonBob	d	['d']	correct	1.312852	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white3.bmp	Image	NonBob	d	['d']	correct	1.173020	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white5.bmp	Image	NonBob	d	['d']	correct	1.262389	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white2.bmp	Image	NonBob	d	['d']	correct	1.004418	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.612304	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white2.bmp	Image	NonBob	d	['d']	correct	0.716335	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.439631	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white1.bmp	Image	NonBob	d	['d']	correct	0.542339	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.616835	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.480393	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white4.bmp	Image	Bob	k	['k']	correct	0.709656	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	1	white5.bmp	Image	NonBob	d	['d']	correct	0.553618	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	WONDERFUL	Text	pos	k	['k']	correct	1.111090	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	DELIGHTFUL	Text	pos	k	['k']	correct	0.738966	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	MAGNIFICENT	Text	pos	k	['k']	correct	0.605613	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	FAVORABLE	Text	pos	k	['k']	correct	0.957578	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	TERRIBLE	Text	neg	d	['d']	correct	0.791715	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	MARVELOUS	Text	pos	k	['k']	correct	0.608450	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	DISGUSTING	Text	neg	d	['d']	correct	0.592411	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	LIKEABLE	Text	pos	k	['k']	correct	0.745061	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	REPULSIVE	Text	neg	d	['d']	correct	0.643735	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	SUPERB	Text	pos	k	['k']	correct	0.642985	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	APPALLING	Text	neg	d	['d']	correct	0.729629	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	FABULOUS	Text	pos	k	['k']	correct	0.620958	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	GREAT	Text	pos	k	['k']	correct	0.436197	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	OFFENSIVE	Text	neg	d	['k']	error	0.530816	1.194819	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	NASTY	Text	neg	d	['d']	correct	0.587747	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	EXCELLENT	Text	pos	k	['k']	correct	0.644273	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	ROTTEN	Text	neg	d	['d']	correct	0.682868	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	DREADFUL	Text	neg	d	['d']	correct	0.575616	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	AWFUL	Text	neg	d	['d']	correct	0.521737	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	2	INFERIOR	Text	neg	d	['d']	correct	0.564937	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.856380	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.733572	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.447769	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	bob1.bmp	Image	NonBob	d	['d']	correct	0.541778	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.519842	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.370295	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	DREADFUL	Text	neg	d	['d']	correct	1.011856	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white1.bmp	Image	NonBob	d	['k']	error	0.906946	1.658822	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	INFERIOR	Text	neg	d	['d']	correct	0.865107	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white1.bmp	Image	NonBob	d	['d']	correct	0.878353	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	white4.bmp	Image	Bob	k	['k']	correct	0.642886	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	FABULOUS	Text	pos	k	['k']	correct	1.369550	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	MAGNIFICENT	Text	pos	k	['k']	correct	0.698992	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	MARVELOUS	Text	pos	k	['k']	correct	0.566810	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	REPULSIVE	Text	neg	d	['d']	correct	0.807046	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	34	LIKEABLE	Text	pos	k	['k']	correct	0.695690	0.000000	1	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
