ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
33	1	white1.bmp	Image	NonBob	k	['d']	error	1.117002	2.869090	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	1.218705	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white5.bmp	Image	NonBob	k	['k']	correct	0.609654	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.457897	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.551829	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white2.bmp	Image	NonBob	k	['k']	correct	0.817754	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.745136	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.611851	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.523701	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white3.bmp	Image	NonBob	k	['k']	correct	0.503196	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.643062	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white1.bmp	Image	NonBob	k	['k']	correct	0.593971	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white2.bmp	Image	NonBob	k	['k']	correct	0.458394	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white5.bmp	Image	NonBob	k	['k']	correct	0.520388	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.475948	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.601282	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.545292	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.491827	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white3.bmp	Image	NonBob	k	['k']	correct	0.760451	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	1	white4.bmp	Image	Bob	d	['d']	correct	0.578377	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	2	LIKEABLE	Text	pos	k	['k']	correct	2.226702	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
33	2	SUPERB	Text	pos	k	['k']	correct	0.946002	0.000000	1	1	1	1	MacMini4.local	2017-09-21_14.17.53.826454
