ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
50	1	white5.bmp	Image	NonBob	d	['d']	correct	4.346154	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.900937	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.520978	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.476340	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white3.bmp	Image	NonBob	d	['d']	correct	0.553602	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.427386	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white1.bmp	Image	NonBob	d	['d']	correct	0.666863	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.536081	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white4.bmp	Image	NonBob	d	['d']	correct	0.547129	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.365689	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white1.bmp	Image	NonBob	d	['d']	correct	0.406801	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.342915	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white2.bmp	Image	NonBob	d	['d']	correct	0.545671	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.396290	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.436789	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white5.bmp	Image	NonBob	d	['d']	correct	0.443532	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	bob1.bmp	Image	Bob	k	['k']	correct	0.418424	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white2.bmp	Image	NonBob	d	['d']	correct	0.457718	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white4.bmp	Image	NonBob	d	['d']	correct	0.511757	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	1	white3.bmp	Image	NonBob	d	['d']	correct	0.523625	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	DISGUSTING	Text	neg	d	['d']	correct	1.091550	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	OFFENSIVE	Text	neg	d	['d']	correct	0.496485	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	FAVORABLE	Text	pos	k	['k']	correct	0.540754	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	ROTTEN	Text	neg	d	['d']	correct	0.615649	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	NASTY	Text	neg	d	['d']	correct	0.559107	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	FABULOUS	Text	pos	k	['k']	correct	0.552986	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	APPALLING	Text	neg	d	['d']	correct	0.746953	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	EXCELLENT	Text	pos	k	['k']	correct	0.709633	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	MAGNIFICENT	Text	pos	k	['k']	correct	0.601452	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	WONDERFUL	Text	pos	k	['k']	correct	0.513649	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	2	GREAT	Text	pos	k	['k']	correct	0.533723	0.000000	1	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
