ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
41,GWIC,nonword,old,26,old,4.12625813484,U,1.57491803169
41,UFTS,nonword,old,10,old,4.23248291016,U,1.18709301949
41,ABST,nonword,old,43,old,2.53092002869,S,1.22624206543
41,SONG,word,old,37,new,2.29766988754,N,NA
41,SNUZ,nonword,old,19,old,2.30703902245,S,1.07238698006
41,WONS,nonword,new,NA,new,2.01373505592,N,NA
41,DOYS,nonword,old,50,old,3.77553105354,S,2.1504650116
41,KLIB,nonword,new,NA,old,3.04368901253,U,1.03662705421
41,NOTE,word,new,NA,new,2.13821101189,N,NA
41,LIFE,word,new,NA,new,1.46752691269,N,NA
41,FOMB,nonword,new,NA,new,2.54714298248,N,NA
41,SIME,nonword,new,NA,new,1.93037509918,N,NA
41,HEAD,word,new,NA,new,2.48373603821,N,NA
41,RILM,nonword,old,34,old,3.61514902115,U,0.933856010437
41,SEAT,word,old,48,old,2.22358298302,U,0.82880115509
41,WORK,word,new,NA,old,4.54891109467,U,1.00130200386
41,FEET,word,old,44,old,2.59712505341,S,0.920387983322
41,SOTE,nonword,new,NA,new,1.74784302711,N,NA
41,KNEE,word,old,5,old,1.4514439106,S,0.891123056412
41,DOOR,word,old,36,new,2.41252803802,N,NA
41,HESP,nonword,old,30,old,1.84592008591,U,1.02313899994
41,TREE,word,new,NA,new,1.59078288078,N,NA
41,HALF,word,new,NA,new,1.3162009716,N,NA
41,WALK,word,new,NA,old,2.7220261097,U,0.946939945221
41,HOAB,nonword,new,NA,new,1.98666882515,N,NA
41,MAKE,word,old,39,new,2.75399208069,N,NA
41,LIKE,word,new,NA,new,2.21514606476,N,NA
41,DWEK,nonword,new,NA,old,1.89673399925,U,0.903807878494
41,TALK,word,old,33,old,1.55190706253,U,0.883033037186
41,LEFT,word,old,15,old,1.23893499374,S,0.704625844955
41,FOSK,nonword,new,NA,old,2.62436318398,U,0.757217884064
41,DENC,nonword,old,16,old,4.00338196754,U,0.971894025803
41,COAT,word,old,3,new,2.91756081581,N,NA
41,SNOW,word,new,NA,new,1.35473513603,N,NA
41,MENC,nonword,new,NA,old,1.41645908356,S,2.00789809227
41,TASP,nonword,old,14,old,6.13163208961,U,0.769531011581
41,BLUE,word,old,11,new,1.85126805305,N,NA
41,SWAZ,nonword,old,7,old,1.1088039875,S,1.1384510994
41,HAND,word,old,1,new,1.395870924,N,NA
41,HOME,word,new,NA,new,1.43333697319,N,NA
41,WUIL,nonword,new,NA,new,1.82281804085,N,NA
41,CASH,word,new,NA,new,1.78235912323,N,NA
41,DUFE,nonword,new,NA,new,2.48565816879,N,NA
41,NARN,nonword,new,NA,new,2.00084090233,N,NA
41,FACE,word,new,NA,old,1.8284239769,U,0.89776301384
41,YEAR,word,old,27,old,2.14755606651,U,0.832753896713
41,DATE,word,new,NA,new,2.41452813148,N,NA
41,GIRL,word,old,46,old,1.6158490181,U,0.823078155518
41,MIND,word,new,NA,new,6.25501298904,N,NA
41,RETE,nonword,new,NA,new,4.41520404816,N,NA
41,WIND,word,new,NA,new,1.50382304192,N,NA
41,SALT,word,old,47,old,3.62350797653,S,1.55661392212
41,YAIL,nonword,new,NA,new,1.37773299217,N,NA
41,VEUL,nonword,old,17,new,3.45939707756,N,NA
41,RAIN,word,new,NA,new,1.67626595497,N,NA
41,LORT,nonword,old,20,old,1.56996417046,U,0.897230148315
41,CHIE,nonword,old,32,old,1.72322297096,S,1.49255490303
41,REST,word,new,NA,new,1.77395415306,N,NA
41,CWUL,nonword,old,45,old,1.45550107956,U,1.03083610535
41,LATT,nonword,new,NA,new,1.22039914131,N,NA
41,PAGE,word,old,2,new,1.46798205376,N,NA
41,DAUV,nonword,new,NA,old,4.37186694145,U,0.834336996078
41,LINE,word,new,NA,old,3.59234309196,U,0.826900959015
41,MYDE,nonword,old,49,old,2.25091385841,U,0.801953077316
41,DAPT,nonword,old,24,new,1.37381100655,N,NA
41,SPIZ,nonword,new,NA,old,1.14341402054,S,0.837057828903
41,PLOK,nonword,new,NA,old,3.06687903404,U,0.791654109955
41,SKIN,word,old,23,new,1.50140309334,N,NA
41,ROAD,word,new,NA,old,1.24502396584,U,0.70233798027
41,JALT,nonword,old,29,old,2.7904958725,U,0.841361045837
41,WASH,word,new,NA,new,1.34101915359,N,NA
41,HALL,word,new,NA,new,1.50855302811,N,NA
41,JOSP,nonword,new,NA,old,1.26020407677,U,0.801588058472
41,CLOF,nonword,new,NA,new,1.54930186272,N,NA
41,KISS,word,new,NA,new,1.6207690239,N,NA
41,WONE,nonword,old,41,old,1.42043304443,U,0.79380607605
41,TRUV,nonword,new,NA,old,1.77567982674,U,0.710842132568
41,CWEB,nonword,old,40,new,2.80476498604,N,NA
41,VABB,nonword,new,NA,new,1.25588297844,N,NA
41,LOOK,word,old,18,old,1.03361701965,U,1.33309316635
41,SEFS,nonword,old,21,new,1.27858805656,N,NA
41,CHUR,nonword,old,25,old,1.09225606918,S,0.964048147202
41,BIRD,word,old,9,old,2.06360697746,U,0.79673910141
41,COLV,nonword,new,NA,old,4.14685988426,U,0.86344909668
41,NAUC,nonword,old,6,old,4.17530417442,U,1.18186688423
41,ZARC,nonword,new,NA,old,1.38968205452,U,1.19311690331
41,GOOD,word,old,42,new,1.45460915565,N,NA
41,LODD,nonword,old,12,new,7.00840902328,N,NA
41,ZEAM,nonword,old,13,new,1.88224697113,N,NA
41,NOGE,nonword,old,8,new,1.40562486649,N,NA
41,FACT,word,old,28,new,1.88110685349,N,NA
41,TIME,word,old,4,old,2.6448199749,U,0.981651067734
41,GATE,word,old,35,new,3.91741394997,N,NA
41,BATH,word,old,22,old,1.57843780518,S,0.745794057846
41,BOOK,word,new,NA,old,2.01761198044,U,0.872754096985
41,KEPH,nonword,new,NA,new,1.43853092194,N,NA
41,BEEF,word,old,31,old,1.1721200943,S,0.85183596611
41,CAKE,word,old,38,old,1.30945301056,U,0.768797874451
41,SHOP,word,new,NA,new,1.29251384735,N,NA
41,COLD,word,new,NA,old,3.07040500641,U,0.857188940048
