ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
21,DOOR,word,new,NA,new,3.75868010521,N,NA
21,CHIE,nonword,new,NA,new,3.93952894211,N,NA
21,SALT,word,new,NA,new,1.67632198334,N,NA
21,BOOK,word,old,8,old,1.37006092072,S,6.11964416504
21,ZEAM,nonword,new,NA,new,2.21960401535,N,NA
21,SEAT,word,old,16,new,1.5489089489,N,NA
21,TIME,word,new,NA,new,1.09240102768,N,NA
21,BEEF,word,old,10,old,1.32635307312,U,2.77568292618
21,FOMB,nonword,old,20,old,1.4410610199,S,0.994462966919
21,REST,word,new,NA,old,2.51971197128,S,1.12158894539
21,WALK,word,old,41,old,1.03703594208,S,1.35264205933
21,RETE,nonword,new,NA,old,2.41429710388,U,1.2533531189
21,WIND,word,old,33,old,1.74315595627,S,0.908640861511
21,NOGE,nonword,old,5,old,1.31627392769,S,2.15214204788
21,KNEE,word,old,43,new,1.73294615746,N,NA
21,DWEK,nonword,old,19,old,1.18267989159,S,0.940243959427
21,HALL,word,old,45,new,1.56364989281,N,NA
21,FOSK,nonword,new,NA,old,1.43932700157,U,1.26461195946
21,SPIZ,nonword,old,7,old,1.79237294197,S,0.90793299675
21,DOYS,nonword,new,NA,new,1.30740404129,N,NA
21,WONS,nonword,old,34,new,1.02688002586,N,NA
21,KLIB,nonword,new,NA,new,1.22647118568,N,NA
21,MENC,nonword,new,NA,old,1.85029506683,S,0.857685089111
21,TASP,nonword,old,40,old,1.92343902588,S,0.82083106041
21,PAGE,word,new,NA,new,1.61229705811,N,NA
21,VABB,nonword,old,17,old,1.36613702774,S,0.967481136322
21,COLD,word,new,NA,new,1.22678494453,N,NA
21,LATT,nonword,new,NA,new,1.32248497009,N,NA
21,ABST,nonword,old,6,old,1.85428786278,S,0.821721076965
21,HAND,word,old,24,old,2.52541303635,S,0.798643112183
21,WASH,word,new,NA,old,1.38028001785,S,0.897855997086
21,KISS,word,old,12,old,1.45952987671,S,0.881052017212
21,JOSP,nonword,new,NA,old,1.51674413681,S,0.78435587883
21,SIME,nonword,old,11,new,1.53571295738,N,NA
21,YEAR,word,old,3,new,1.04919505119,N,NA
21,DATE,word,old,14,old,0.941097974777,S,0.810705900192
21,LODD,nonword,new,NA,old,1.39648199081,S,0.807971000671
