ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
32,DATE,word,old,16,old,4.74310803413,S,2.67584514618
32,MYDE,nonword,new,NA,new,2.72874498367,N,NA
32,HAND,word,old,23,old,5.04418516159,U,3.27658200264
32,COAT,word,old,41,new,2.44161987305,N,NA
32,HOME,word,old,20,new,2.96490287781,N,NA
32,BEEF,word,new,NA,new,2.16792798042,N,NA
32,YAIL,nonword,new,NA,new,1.88309693336,N,NA
32,PLOK,nonword,new,NA,new,3.52670907974,N,NA
32,CWEB,nonword,new,NA,old,1.84973692894,U,1.71309709549
32,HESP,nonword,new,NA,old,1.79888606071,U,2.22595405579
32,SNOW,word,old,36,old,2.30550003052,S,1.11077713966
32,PAGE,word,old,33,old,2.70852398872,S,1.20165991783
32,ZARC,nonword,new,NA,new,7.54129695892,N,NA
32,HOAB,nonword,new,NA,new,1.84497594833,N,NA
32,DENC,nonword,old,31,old,3.47263789177,U,1.2113878727
32,KNEE,word,old,7,new,1.39699220657,N,NA
32,LINE,word,new,NA,new,1.76230621338,N,NA
32,FEET,word,new,NA,new,2.94205784798,N,NA
32,LODD,nonword,old,49,old,3.0293200016,U,1.04212594032
32,MENC,nonword,old,3,old,1.89393782616,S,1.89337301254
32,BOOK,word,new,NA,new,2.110683918,N,NA
32,COLV,nonword,old,21,new,3.06807208061,N,NA
32,ZEAM,nonword,old,32,new,1.58702397346,N,NA
32,WASH,word,old,14,new,2.73058605194,N,NA
32,HALF,word,new,NA,old,1.83590102196,U,1.42302107811
32,NOTE,word,new,NA,old,1.70277094841,U,1.92422294617
32,LOOK,word,new,NA,new,2.49563789368,N,NA
32,JALT,nonword,old,2,new,1.59282803535,N,NA
32,NAUC,nonword,old,46,new,1.9022769928,N,NA
32,WIND,word,old,17,old,1.60570001602,U,1.11092019081
32,LORT,nonword,new,NA,old,1.87690210342,U,1.1041469574
32,RETE,nonword,old,12,old,1.39187908173,S,1.07556200027
32,HALL,word,new,NA,new,2.38498210907,N,NA
32,TALK,word,new,NA,new,1.9041249752,N,NA
32,SEFS,nonword,old,39,new,1.84752011299,N,NA
32,GIRL,word,old,6,new,1.41113996506,N,NA
32,LIKE,word,new,NA,new,1.37247490883,N,NA
32,LEFT,word,old,1,old,1.59815120697,S,1.20980596542
32,SKIN,word,old,10,old,2.10733795166,U,1.68834805489
32,FACE,word,new,NA,new,1.89191889763,N,NA
32,LATT,nonword,new,NA,new,1.18934106827,N,NA
32,CHUR,nonword,old,18,old,1.36505103111,U,1.0624370575
32,TASP,nonword,new,NA,new,1.69412207603,N,NA
32,CHIE,nonword,new,NA,new,1.8155579567,N,NA
32,FOMB,nonword,new,NA,new,1.68083691597,N,NA
32,SALT,word,old,22,new,1.3402569294,N,NA
32,FACT,word,new,NA,new,1.37204813957,N,NA
32,MAKE,word,old,27,new,1.765406847,N,NA
32,ABST,nonword,new,NA,new,2.20087814331,N,NA
32,WORK,word,old,26,new,3.1401078701,N,NA
32,FOSK,nonword,new,NA,new,1.41109800339,N,NA
32,TREE,word,old,28,old,1.53285598755,S,0.940432071686
32,TRUV,nonword,old,9,old,1.45995402336,S,1.05749487877
32,WONS,nonword,new,NA,new,1.83493304253,N,NA
