ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
13,SEFS,nonword,new,NA,old,3.62645602226,S,2.74357295036
13,TRUV,nonword,old,36,old,1.87052607536,S,1.59406113625
13,MIND,word,new,NA,old,3.19946885109,S,1.27447104454
13,BEEF,word,old,14,new,1.45591497421,N,NA
13,TREE,word,new,NA,old,1.22556400299,S,2.11131596565
13,SPIZ,nonword,new,NA,new,2.68454194069,N,NA
13,BOOK,word,old,17,old,3.49584197998,U,1.04653716087
13,WALK,word,old,18,new,2.09029984474,N,NA
13,LATT,nonword,new,NA,new,2.24356794357,N,NA
13,TIME,word,new,NA,old,2.39904904366,S,1.03444695473
13,FEET,word,old,8,old,3.59199213982,S,0.890981912613
13,ZARC,nonword,new,NA,new,1.86853790283,N,NA
13,TASP,nonword,old,22,old,1.66798901558,S,0.897474050522
13,WORK,word,new,NA,new,1.5549390316,N,NA
13,HAND,word,new,NA,new,2.38450598717,N,NA
13,DOYS,nonword,old,35,old,4.28803300858,U,1.69641399384
13,WASH,word,old,48,old,4.21832704544,S,1.00103712082
13,CASH,word,old,16,new,3.42849612236,N,NA
13,RETE,nonword,new,NA,new,2.65945911407,N,NA
13,NOTE,word,old,29,old,4.60499286652,U,1.14942121506
13,DAPT,nonword,old,32,old,1.35723304749,S,0.848711013794
13,CLOF,nonword,old,43,old,1.93243098259,S,0.883817195892
13,MYDE,nonword,old,3,new,1.25526189804,N,NA
13,LORT,nonword,old,31,old,2.13705801964,S,0.848567962646
13,COAT,word,old,49,new,1.84398388863,N,NA
13,UFTS,nonword,old,28,old,2.27154517174,S,1.2188911438
13,HESP,nonword,old,34,old,1.64450097084,S,0.965979814529
13,WONE,nonword,new,NA,new,1.30524611473,N,NA
13,HEAD,word,old,4,old,1.07307314873,S,0.788751840591
13,RAIN,word,new,NA,new,2.38829302788,N,NA
13,REST,word,old,9,old,1.43573403358,S,0.967386007309
13,SONG,word,old,23,new,3.22675085068,N,NA
13,CHUR,nonword,new,NA,new,1.73780703545,N,NA
13,JOSP,nonword,new,NA,old,5.36953186989,S,1.20195508003
13,NOGE,nonword,new,NA,new,1.74133706093,N,NA
13,HOAB,nonword,new,NA,new,1.3407740593,N,NA
13,HOME,word,old,21,old,1.12441802025,S,0.837996006012
13,LIKE,word,old,11,new,4.17965602875,N,NA
13,VEUL,nonword,old,33,new,3.01254701614,N,NA
13,RILM,nonword,new,NA,old,3.29371190071,S,0.828800916672
13,SALT,word,new,NA,new,1.39615392685,N,NA
13,BLUE,word,old,41,old,1.52192997932,S,0.859565019608
13,SKIN,word,new,NA,new,1.74671697617,N,NA
13,HALL,word,new,NA,new,1.9543569088,N,NA
13,NAUC,nonword,old,50,old,2.17610216141,S,0.91126704216
13,SOTE,nonword,new,NA,old,1.82902407646,S,0.738345146179
13,DOOR,word,old,10,old,1.340061903,S,0.841565132141
13,PLOK,nonword,new,NA,new,1.65332889557,N,NA
13,GIRL,word,old,46,new,2.43862700462,N,NA
13,LINE,word,new,NA,old,2.83590388298,S,0.807387828827
13,SNOW,word,old,19,new,2.80272889137,N,NA
13,ROAD,word,new,NA,old,1.50206398964,S,1.22754907608
13,YAIL,nonword,old,30,old,2.58714485168,S,0.824606895447
13,GATE,word,new,NA,old,3.95225000381,S,0.995115041733
13,COLD,word,old,45,old,2.33691000938,U,1.0158290863
13,KEPH,nonword,new,NA,new,1.96174883842,N,NA
13,KISS,word,new,NA,new,1.46076917648,N,NA
13,TALK,word,new,NA,old,2.92448306084,U,1.29347681999
13,SHOP,word,old,26,old,1.43915390968,S,0.888717889786
13,VABB,nonword,new,NA,new,1.70027494431,N,NA
13,CWEB,nonword,new,NA,new,1.45184707642,N,NA
13,KNEE,word,new,NA,old,3.36547207832,U,0.870316028595
13,SEAT,word,old,2,old,1.70806908607,U,1.12937903404
13,CHIE,nonword,new,NA,new,1.95708703995,N,NA
13,PAGE,word,new,NA,new,1.63432717323,N,NA
13,JALT,nonword,new,NA,old,1.3199338913,U,1.00129699707
13,LOOK,word,new,NA,old,2.12534022331,S,0.686552047729
13,LEFT,word,new,NA,old,1.63429713249,S,1.81384205818
13,SWAZ,nonword,old,15,old,1.47128510475,S,0.80282497406
13,FACE,word,new,NA,new,1.40623497963,N,NA
13,YEAR,word,new,NA,new,2.04184007645,N,NA
13,CAKE,word,old,13,old,4.06937885284,S,0.898300886154
13,GWIC,nonword,old,5,old,1.17196798325,S,0.859445810318
13,FOMB,nonword,new,NA,new,2.09888482094,N,NA
13,BATH,word,new,NA,new,3.63650202751,N,NA
13,WUIL,nonword,old,42,old,4.04956102371,U,2.42605400085
13,LODD,nonword,new,NA,old,1.31356620789,S,0.797258853912
13,FOSK,nonword,new,NA,old,5.45893287659,U,1.23309397697
13,HALF,word,old,38,new,2.13485693932,N,NA
13,WONS,nonword,old,39,new,1.67214202881,N,NA
13,DAUV,nonword,old,44,old,1.30971717834,U,1.16106295586
13,DWEK,nonword,old,37,old,1.82111382484,S,0.970365047455
13,DUFE,nonword,old,47,new,6.04397511482,N,NA
13,KLIB,nonword,new,NA,new,1.43812799454,N,NA
13,SIME,nonword,old,7,old,7.3159430027,U,1.41371893883
13,MAKE,word,new,NA,old,3.11938714981,S,0.874448060989
13,GOOD,word,new,NA,new,3.87224602699,N,NA
13,COLV,nonword,new,NA,old,1.71710181236,S,0.840465068817
13,DATE,word,new,NA,old,3.07630610466,U,1.08711099625
13,FACT,word,old,6,old,4.32304096222,S,0.803774118423
13,BIRD,word,old,40,old,2.15955901146,S,0.905024051666
13,WIND,word,old,12,old,2.64859414101,S,0.985751152039
13,DENC,nonword,old,24,old,1.29731202126,S,0.753045797348
13,SNUZ,nonword,new,NA,old,1.20668292046,S,0.800394058228
13,ZEAM,nonword,old,1,old,1.91600203514,U,0.999251842499
13,ABST,nonword,old,25,old,2.30104708672,S,0.914301872253
13,CWUL,nonword,old,27,old,1.28815507889,S,0.753576993942
13,MENC,nonword,new,NA,old,1.65532803535,S,0.822896957397
13,NARN,nonword,old,20,old,1.04643917084,S,0.784152984619
13,LIFE,word,new,NA,old,1.24787402153,U,0.993257045746
