ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
51,CWUL,nonword,new,NA,new,6.28582406044,N,NA
51,TALK,word,old,42,old,2.62431716919,S,3.14155292511
51,KISS,word,new,NA,new,4.28436994553,N,NA
51,JALT,nonword,new,NA,new,5.2633600235,N,NA
51,HOAB,nonword,old,15,old,3.17383098602,S,0.997015953064
51,SEAT,word,old,25,old,2.14653301239,S,1.19993209839
51,HALF,word,new,NA,new,2.09931015968,N,NA
51,WONE,nonword,new,NA,new,2.22073197365,N,NA
51,LOOK,word,old,49,old,1.75609517097,U,1.31934213638
51,TRUV,nonword,old,16,old,2.56534004211,S,1.01430296898
51,SHOP,word,new,NA,old,8.45630002022,U,0.861505031586
51,PLOK,nonword,old,12,new,1.83998703957,N,NA
51,COLD,word,old,50,old,1.84682798386,S,1.16032099724
51,NARN,nonword,new,NA,new,4.38780093193,N,NA
51,CLOF,nonword,old,11,old,1.97866511345,S,0.930227041245
51,DOOR,word,old,40,old,2.77977585793,U,1.09674715996
51,DWEK,nonword,old,31,new,1.73035693169,N,NA
51,TIME,word,old,30,old,1.83601021767,S,1.55939412117
51,KNEE,word,old,9,old,2.32506918907,S,0.92630314827
51,DOYS,nonword,new,NA,new,1.48950600624,N,NA
51,HOME,word,old,38,old,6.14152693748,U,0.913495063782
51,FACT,word,new,NA,new,2.94318890572,N,NA
51,KLIB,nonword,new,NA,new,1.56617689133,N,NA
51,WASH,word,old,33,new,2.28182888031,N,NA
51,MIND,word,new,NA,old,2.82130718231,U,0.994251012802
51,ZARC,nonword,old,6,old,2.27199006081,U,1.68319201469
51,SONG,word,new,NA,new,1.31080508232,N,NA
51,DENC,nonword,new,NA,new,1.48412394524,N,NA
51,FOSK,nonword,old,29,new,4.00791692734,N,NA
51,COAT,word,new,NA,old,3.39504885674,U,0.933529138565
51,KEPH,nonword,new,NA,new,1.43920707703,N,NA
51,BEEF,word,new,NA,new,1.57264399529,N,NA
51,RILM,nonword,old,34,new,3.30222892761,N,NA
51,LIFE,word,new,NA,new,5.02934408188,N,NA
51,RETE,nonword,old,19,old,2.83609104156,S,4.06330704689
51,WONS,nonword,new,NA,new,2.45392680168,N,NA
51,GWIC,nonword,new,NA,old,1.84724903107,U,1.17657089233
51,LATT,nonword,new,NA,new,1.74607205391,N,NA
51,CASH,word,new,NA,new,4.05784702301,N,NA
51,DUFE,nonword,new,NA,new,1.87441897392,N,NA
51,SALT,word,old,36,old,1.64809203148,S,0.961510896683
51,LINE,word,old,43,old,1.98909401894,U,0.914275169373
51,CHIE,nonword,new,NA,new,1.63209700584,N,NA
51,FOMB,nonword,old,37,new,10.0538551807,N,NA
51,HALL,word,old,8,old,3.22896385193,U,0.889914035797
51,VABB,nonword,old,27,new,1.43560600281,N,NA
51,CHUR,nonword,old,20,old,1.44924497604,S,0.992697000504
51,DAPT,nonword,old,46,old,3.14246702194,U,0.97132396698
51,GOOD,word,new,NA,new,1.63696408272,N,NA
51,LEFT,word,new,NA,new,2.42637205124,N,NA
51,FEET,word,new,NA,new,6.74594902992,N,NA
51,BATH,word,new,NA,new,3.93594002724,N,NA
51,WUIL,nonword,old,2,old,1.68076109886,S,1.41835999489
51,YAIL,nonword,new,NA,new,1.33172392845,N,NA
51,DATE,word,new,NA,old,7.46968412399,U,0.913161993027
51,SIME,nonword,new,NA,new,1.53485298157,N,NA
51,PAGE,word,new,NA,new,1.47234487534,N,NA
51,CWEB,nonword,new,NA,old,2.32601189613,U,1.92748713493
51,LIKE,word,old,22,old,1.50675702095,S,1.27249193192
51,WIND,word,old,47,old,2.64586305618,U,0.726835012436
51,GIRL,word,new,NA,new,1.42672085762,N,NA
51,SNUZ,nonword,old,32,old,3.32238101959,U,0.915230035782
