ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
33,VEUL,nonword,new,NA,old,7.06708502769,S,4.14911794662
33,FEET,word,new,NA,new,2.89160990715,N,NA
33,LOOK,word,old,2,old,5.84508514404,S,1.43727684021
33,BOOK,word,old,16,old,3.33095812798,S,1.5379858017
33,HALF,word,old,8,new,1.98733615875,N,NA
33,TALK,word,new,NA,new,2.01846599579,N,NA
33,HOAB,nonword,old,41,old,1.90034508705,U,0.977438926697
33,NOGE,nonword,new,NA,new,2.17897295952,N,NA
33,SNOW,word,new,NA,new,1.82846403122,N,NA
33,HEAD,word,old,12,new,2.4998459816,N,NA
33,MIND,word,old,29,new,1.77300000191,N,NA
33,TREE,word,new,NA,new,1.9744758606,N,NA
33,HOME,word,old,36,new,1.47980308533,N,NA
33,LORT,nonword,old,25,old,1.12346291542,U,1.75692200661
33,WONS,nonword,new,NA,new,1.80240392685,N,NA
33,PLOK,nonword,old,32,old,1.18192005157,S,0.971502065659
33,HAND,word,old,11,old,4.11733102798,U,1.60787701607
33,KNEE,word,new,NA,new,3.36334395409,N,NA
33,ZEAM,nonword,old,1,old,2.38251209259,S,1.38792991638
33,SKIN,word,new,NA,new,1.72314500809,N,NA
33,COLD,word,new,NA,new,1.70265889168,N,NA
33,FOMB,nonword,old,40,old,1.68610787392,S,1.14367294312
33,HALL,word,new,NA,new,2.21508789062,N,NA
33,CAKE,word,old,50,new,2.00854802132,N,NA
33,BIRD,word,old,49,new,1.65189790726,N,NA
33,JOSP,nonword,new,NA,old,1.5253970623,U,1.15089893341
33,LODD,nonword,new,NA,new,2.03637194633,N,NA
33,REST,word,new,NA,new,2.15382599831,N,NA
33,SHOP,word,new,NA,new,1.6309440136,N,NA
33,JALT,nonword,new,NA,old,1.96464705467,S,0.910220146179
33,TRUV,nonword,old,42,new,2.87572789192,N,NA
33,SIME,nonword,old,6,old,2.00102305412,S,1.1461558342
33,NARN,nonword,new,NA,new,1.64965701103,N,NA
33,NAUC,nonword,old,20,old,1.43742179871,S,1.68086099625
33,KISS,word,new,NA,new,2.28425002098,N,NA
33,WASH,word,old,35,old,1.31957697868,U,2.9290459156
33,SWAZ,nonword,new,NA,old,1.77242398262,S,1.65187096596
33,CWUL,nonword,new,NA,old,2.01350498199,S,0.948673009872
33,FACE,word,new,NA,old,1.96438503265,S,1.46972417831
33,SEAT,word,old,26,new,2.42701816559,N,NA
33,DATE,word,new,NA,old,2.25050497055,U,0.945616960526
33,SPIZ,nonword,old,5,old,1.209430933,S,0.897035837173
33,COAT,word,new,NA,old,2.20269298553,S,0.980150938034
33,FACT,word,old,38,new,1.33963418007,N,NA
33,CWEB,nonword,old,9,old,1.34709095955,S,0.824776887894
33,MAKE,word,new,NA,new,1.71227383614,N,NA
33,RAIN,word,new,NA,new,3.6218111515,N,NA
33,BEEF,word,new,NA,new,1.69272017479,N,NA
33,CHIE,nonword,new,NA,new,1.90218496323,N,NA
33,HESP,nonword,new,NA,old,1.09360408783,S,1.36546516418
33,SALT,word,old,47,old,2.48098802567,S,0.922123908997
33,WORK,word,old,46,new,1.33362817764,N,NA
33,LATT,nonword,new,NA,old,1.42336201668,U,1.60465908051
33,KLIB,nonword,old,28,old,1.58429002762,S,0.870055913925
33,CHUR,nonword,new,NA,old,1.62782382965,S,1.04905581474
33,BLUE,word,new,NA,old,2.88475298882,S,0.836922168732
33,FOSK,nonword,old,30,old,1.46165299416,U,1.04309105873
